step_number,total_weight,x_centroid_mm,z_centroid_mm,theta_centroid_deg,E_centroid_MeV,x_rms_mm,z_rms_mm,theta_rms_deg,E_rms_MeV,x_min_mm,x_max_mm,z_min_mm,z_max_mm,max_dose_MeV,z_peak_mm,x_peak_mm
1,9.99999940e-01,5.508726,1.499854,89.500,69.178,0.119464,0.012073,0.841,0.098,4.500,6.500,0.500,1.500,7.22205997e-01,0.500,5.500
2,1.00000000e+00,5.517451,2.499601,89.500,68.454,0.181919,0.019980,1.189,0.138,3.500,7.500,0.500,2.500,7.22308517e-01,0.500,5.500
3,1.00000000e+00,5.526174,3.499240,89.500,67.729,0.236977,0.027576,1.456,0.169,2.500,8.500,0.500,3.500,7.22308517e-01,0.500,5.500
4,1.00000000e+00,5.534897,4.498765,89.500,67.002,0.289140,0.035158,1.694,0.195,1.500,9.500,1.500,4.500,7.22308517e-01,0.500,5.500
5,1.00000000e+00,5.543619,5.498176,89.500,66.274,0.339924,0.042741,1.903,0.217,0.500,10.500,2.500,5.500,7.22308517e-01,0.500,5.500
6,1.00000000e+00,5.552339,6.497472,89.500,65.544,0.390132,0.050329,2.091,0.238,0.500,11.500,3.500,6.500,7.22308517e-01,0.500,5.500
7,1.00000012e+00,5.561059,7.496647,89.500,64.813,0.440407,0.057981,2.272,0.256,0.500,11.500,3.500,7.500,7.22308517e-01,0.500,5.500
8,1.00000012e+00,5.569777,8.495701,89.500,64.080,0.491064,0.065687,2.442,0.274,0.500,11.500,4.500,8.500,7.22308517e-01,0.500,5.500
9,1.00000000e+00,5.578496,9.494635,89.500,63.346,0.542317,0.073438,2.601,0.290,0.500,11.500,5.500,9.500,7.22308517e-01,0.500,5.500
10,1.00000012e+00,5.587211,10.493436,89.500,62.610,0.594411,0.081267,2.759,0.305,0.500,11.500,6.500,10.500,7.22308517e-01,0.500,5.500
11,1.00000012e+00,5.595927,11.492109,89.500,61.872,0.647468,0.089170,2.910,0.320,0.500,11.500,7.500,11.500,7.22308517e-01,0.500,5.500
12,1.00000012e+00,5.604642,12.490651,89.500,61.132,0.701572,0.097138,3.054,0.333,0.500,11.500,8.500,12.500,7.22308517e-01,0.500,5.500
13,1.00000012e+00,5.613356,13.489056,89.500,60.391,0.756838,0.105193,3.199,0.346,0.500,11.500,9.500,13.500,7.22308517e-01,0.500,5.500
14,1.00000012e+00,5.622071,14.487322,89.500,59.648,0.813318,0.113332,3.339,0.359,0.500,11.500,9.500,14.500,7.22308517e-01,0.500,5.500
15,1.00000012e+00,5.630786,15.485446,89.500,58.903,0.871050,0.121556,3.475,0.371,0.500,11.500,10.500,15.500,7.22308517e-01,0.500,5.500
16,1.00000012e+00,5.639503,16.483421,89.500,58.156,0.930084,0.129882,3.613,0.382,0.500,11.500,11.500,16.500,7.22308517e-01,0.500,5.500
17,1.00000000e+00,5.648224,17.481249,89.500,57.407,0.990419,0.138302,3.746,0.393,0.500,11.500,12.500,17.500,7.22308517e-01,0.500,5.500
18,9.99999821e-01,5.656949,18.478922,89.500,56.656,1.052052,0.146820,3.878,0.403,0.500,11.500,13.500,18.500,7.22308517e-01,0.500,5.500
19,9.99999285e-01,5.665681,19.476439,89.500,55.903,1.114983,0.155451,4.011,0.413,0.500,11.500,14.500,19.500,7.22308517e-01,0.500,5.500
20,9.99998331e-01,5.674420,20.473793,89.500,55.148,1.179171,0.164189,4.140,0.422,0.500,11.500,15.500,20.500,7.22308517e-01,0.500,5.500
21,9.99996424e-01,5.683170,21.470983,89.500,54.391,1.244573,0.173039,4.270,0.431,0.500,11.500,15.500,21.500,7.22308517e-01,0.500,5.500
22,9.99992967e-01,5.691931,22.467999,89.500,53.632,1.311140,0.182013,4.401,0.440,0.500,11.500,16.500,22.500,7.22308517e-01,0.500,5.500
23,9.99986947e-01,5.700704,23.464845,89.500,52.871,1.378789,0.191105,4.528,0.449,0.500,11.500,17.500,23.500,7.22308517e-01,0.500,5.500
24,9.99976993e-01,5.709490,24.461513,89.500,52.107,1.447438,0.200322,4.657,0.456,0.500,11.500,18.500,24.500,7.22308517e-01,0.500,5.500
25,9.99960899e-01,5.718287,25.458000,89.500,51.341,1.516992,0.209670,4.787,0.464,0.500,11.500,19.500,25.500,7.22308517e-01,0.500,5.500
26,9.99936998e-01,5.727092,26.454297,89.501,50.573,1.587334,0.219142,4.914,0.471,0.500,11.500,20.500,26.500,7.22308517e-01,0.500,5.500
27,9.99900997e-01,5.735903,27.450412,89.501,49.802,1.658343,0.228745,5.043,0.478,0.500,11.500,20.500,27.500,7.22308517e-01,0.500,5.500
28,9.99849319e-01,5.744711,28.446327,89.501,49.029,1.729890,0.238477,5.172,0.485,0.500,11.500,21.500,28.500,7.22308517e-01,0.500,5.500
29,9.99777257e-01,5.753514,29.442051,89.502,48.252,1.801836,0.248334,5.299,0.491,0.500,11.500,22.500,29.500,7.22308517e-01,0.500,5.500
30,9.99677002e-01,5.762297,30.437575,89.502,47.471,1.874036,0.258317,5.429,0.497,0.500,11.500,23.500,30.500,7.22308517e-01,0.500,5.500
31,9.99543667e-01,5.771054,31.432901,89.503,46.687,1.946347,0.268420,5.557,0.502,0.500,11.500,24.500,31.500,7.22308517e-01,0.500,5.500
32,9.99368548e-01,5.779771,32.428028,89.504,45.898,2.018615,0.278636,5.685,0.507,0.500,11.500,24.500,32.500,7.22308517e-01,0.500,5.500
33,9.99138474e-01,5.788430,33.422956,89.505,45.106,2.090683,0.288958,5.814,0.511,0.500,11.500,25.500,33.500,7.22308517e-01,0.500,5.500
34,9.98849034e-01,5.797022,34.417678,89.507,44.310,2.162420,0.299379,5.942,0.514,0.500,11.500,26.500,34.500,7.22308517e-01,0.500,5.500
35,9.98482883e-01,5.805527,35.412208,89.508,43.510,2.233665,0.309887,6.069,0.517,0.500,11.500,27.500,35.500,7.22308517e-01,0.500,5.500
36,9.98024225e-01,5.813924,36.406545,89.510,42.707,2.304272,0.320471,6.197,0.520,0.500,11.500,28.500,36.500,7.22308517e-01,0.500,5.500
37,9.97469783e-01,5.822205,37.400678,89.513,41.900,2.374138,0.331125,6.322,0.523,0.500,11.500,29.500,37.500,7.22308517e-01,0.500,5.500
38,9.96788979e-01,5.830341,38.394632,89.516,41.089,2.443093,0.341825,6.448,0.528,0.500,11.500,30.500,38.500,7.22308517e-01,0.500,5.500
39,9.95971203e-01,5.838320,39.388402,89.519,40.274,2.511037,0.352566,6.573,0.533,0.500,11.500,30.500,39.500,7.22308517e-01,0.500,5.500
40,9.94997382e-01,5.846124,40.381996,89.522,39.456,2.577857,0.363331,6.696,0.538,0.500,11.500,31.500,40.500,7.22308517e-01,0.500,5.500
41,9.93832350e-01,5.853722,41.375417,89.526,38.634,2.643411,0.374100,6.820,0.544,0.500,11.500,32.500,41.500,7.22308517e-01,0.500,5.500
42,9.92484689e-01,5.861124,42.368669,89.531,37.808,2.707684,0.384875,6.940,0.551,0.500,11.500,33.500,42.500,7.22308517e-01,0.500,5.500
43,9.90900397e-01,5.868292,43.361774,89.536,36.978,2.770508,0.395620,7.060,0.558,0.500,11.500,34.500,43.500,7.22308517e-01,0.500,5.500
44,9.89059329e-01,5.875215,44.354731,89.541,36.144,2.831819,0.406326,7.179,0.566,0.500,11.500,35.500,44.500,7.22308517e-01,0.500,5.500
45,9.86964583e-01,5.881900,45.347543,89.547,35.305,2.891619,0.416994,7.293,0.576,0.500,11.500,36.500,45.500,7.22308517e-01,0.500,5.500
46,9.84530210e-01,5.888299,46.340243,89.554,34.442,2.949707,0.427574,7.409,0.617,0.500,11.500,37.500,46.500,7.22308517e-01,0.500,5.500
47,9.81772959e-01,5.894431,47.332817,89.561,33.474,3.006140,0.438083,7.521,0.726,0.500,11.500,38.500,47.500,7.22308517e-01,0.500,5.500
48,9.78622139e-01,5.900267,48.325288,89.569,32.320,3.060785,0.448482,7.632,0.876,0.500,11.500,38.500,48.500,7.22308517e-01,0.500,5.500
49,9.74996209e-01,5.905778,49.317690,89.577,30.933,3.113512,0.458737,7.743,1.056,0.500,11.500,39.500,49.500,7.22308517e-01,0.500,5.500
50,1.50218844e-01,6.223610,49.317599,89.024,29.279,3.990203,0.458479,10.022,1.229,0.500,11.500,40.500,49.500,7.22308517e-01,0.500,5.500
51,2.28444729e-02,6.549102,49.311892,88.385,27.455,4.581756,0.461362,11.641,1.308,0.500,11.500,41.500,49.500,7.22308517e-01,0.500,5.500
52,3.55342450e-03,6.814708,49.315195,87.833,25.582,4.902942,0.453747,12.538,1.329,0.500,11.500,42.500,49.500,7.22308517e-01,0.500,5.500
53,5.40542125e-04,7.024583,49.323248,87.393,23.694,5.069213,0.440843,12.973,1.345,0.500,11.500,43.500,49.500,7.22308517e-01,0.500,5.500
54,7.84413569e-05,7.195714,49.333381,87.045,21.789,5.154031,0.424965,13.137,1.362,0.500,11.500,44.500,49.500,7.22308517e-01,0.500,5.500
55,1.07188735e-05,7.343579,49.345739,86.761,19.864,5.196667,0.404363,13.136,1.375,0.500,11.500,45.500,49.500,7.22308517e-01,0.500,5.500
56,1.35869573e-06,7.486224,49.364216,86.510,17.915,5.217947,0.371671,13.034,1.377,0.500,11.500,46.500,49.500,7.22308517e-01,0.500,5.500
57,1.52657208e-07,7.658716,49.397088,86.217,15.937,5.223669,0.307605,12.880,1.343,0.500,11.500,47.500,49.500,7.22308517e-01,0.500,5.500
